dream_id,dream_keyword,dream_interpretation
141,หญิงเปลือย,ฝันเห็นหญิงเปลือยกาย ถ้าผู้นั้นเป็นชาย ได้จับต้องลูบคลำในฝัน ทายว่าจะได้รับความเดือดร้อนในการเงินหรือสัมผัสใกล้ชิด ทายว่าจะได้ลาภจากการเสี่ยงโชคเล็ก ๆ น้อย ๆ
142,หญิงแต่งชุดสีต่าง ๆ,ฝันเห็นหญิงแต่งชุดดำ ทายว่าจะมีศัตรูคิดปองร้าย ฝันเห็นหญิงแต่งชุดขาว ทายว่าจะได้ประสบความร่มเย็น ฝันเห็นหญิงแต่งชุดแดง ทายว่าจะได้รับความเดือดร้อน
143,หญิงชรา,หญิงชายใดก็ตาม ถ้าฝันเห็นหญิงชราแก่สูงอายุ ทายว่าจะมีเคราะห์ร้ายเกิดความวุ่นวาย ในเรื่องการบ้านการงาน สุดแต่ตนจะดำเนินอย่างไรให้เอาตัวรอดไปได้
144,เด็ก,ฝันเห็นเด็กทารก ขาวอวบสมบูรณ์ ฝันนี้จะบอกเหตุให้รู้ว่า จะได้ลาภในการเงินหรือได้บุตรในเร็ววัน
145,ดอกไม้,ฝันเห็นดอกไม้จำพวกกุหลาบ เบญจมาศ ซบาหรือดอกบัว (ยกเว้นเฉพาะดอกช่อดอกลิ้นฟ้า) ทำนายว่า จะได้รับข่าวมงคลจากญาติมิตร
146,ดาว,ฝันเห็นดาวสว่างลุกใส หรือตกลงมาจากท้องฟ้า ทายว่า หญิงชายที่เป็นโสดจะได้พบเนื้อคู่อันพึงพอใจ ถ้าเป็นคนมีครอบครัวแล้วจะได้บุตร หรือได้โชคลาภจากการเสี่ยง
147,เดือน,ฝันเห็นเดือนหรือพระจันทร์สุกปลั่งเป็นวงกลม ทายว่า จะได้รับข่าวดีเป็นมงคล หรือจะได้บุตรน่ารัก ถ้าเป็นผู้สูงอายุจะได้ยศหรือศักดิ์สูงขึ้น
148,ดิน,ฝันว่าได้กินก้อนดิน หรือจับก้อนดิน ทายว่าจะได้ลาภทางการเงินจากมิตรสนิทหรือคนใกล้ชิด
149,แดด,ฝันว่าเดินตากแดด อาบแสงแดดใส่ตัวเอง หรือเหงื่อออกเหนื่อยตัว ทายว่า จะได้รับเคราะห์หรือป่วยเจ็บ หรือได้รับความตื่นตกใจจากอุบัติเหตุ
150,ดำน้ำ,ฝันว่าไปเล่นน้ำ และดำน้ำลึก หรือผุดโผล่ในน้ำ ทายว่า จะได้รับทุกข์เสียก่อนจึงจะมีลาภ หรือได้ทุกข์ลาभในขณะเดียวกัน
151,ดาบ,ฝันเห็นดาบหรือมีด หรือได้จับดาบ ทายว่า จะได้บุตรชาย หรือจะได้เลื่อนตำแหน่งหน้าที่ในการงาน ถ้าเป็นความ จะชนะคดี
152,ไฟไหม้,ฝันว่าเดินไปถึงที่เกิดไฟไหม้ หรือฝันเห็นบ้านไฟไหม้ ทายว่า จะมีเคราะห์เล็กๆ น้อยๆ แต่จะผ่านพ้นไปโดยไม่ถึงกับรุนแรง
153,เดินทาง,ฝันว่าได้เดินทางไปในกลางทะเลทรายหรือป่ารก ทายว่า จะได้รับเคราะห์จากญาติพี่น้องที่อยู่ไกล หรือจากเพื่อนสนิทที่นำเคราะห์มาให้โดยไม่รู้ตัว ถ้าฝันว่าได้เดินทางไปในป่าช้า ทายว่าจะได้ลาภลอยทุกวัน หรือได้รับมรดกจากพี่น้อง
155,โดด,ฝันว่ากระโดดจากที่สูงลงมาที่ต่ำ หรือกระโดดข้ามฝั่งแม่น้ำ ทายว่าจะได้รับเคราะห์ หรือเกิดการแตกแยกในหมู่ญาติ
156,ดนตรี,ฝันว่าได้ยินเสียงดนตรีครึกครื้นอยู่ หรือคนบรรเลงดนตรีอยู่แต่ไกล หรือฝันว่าได้เห็นเครื่องดนตรีตั้งเป็นวงอยู่ ทายว่าจะได้ข่าวดีจากญาติ หรือคนภายในครอบครัว
157,ดื่มน้ำ,ฝันว่าดื่มน้ำหรือดื่มเหล้า เป็นการดับกระหายทายว่า จะพ้นจากโรคภัยไข้เจ็บ หรือหนี้สินต่าง ๆ จะเบาบางลงเพราะมีคนช่วยเหลือ
158,ดัดผม,ฝันว่าได้ดัดผมหรือตัดผมตัวเองแปลงโฉมใหม่ ทายว่าจะได้รับข่าวร้ายจากญาติมิตรที่อยู่ไกล
159,ดู,ฝันว่าได้ดูหนังละคร หรือดูการละเล่นต่างๆ ทายว่า จะได้รับข่าวร้ายจากญาติมิตรที่อยู่ไกล
160,โดม,ฝันเห็นยอดตึกสูงเป็นรูปหลังคากลม หรือยอดสูงเป็นรูปโดม ทายว่า จะได้รับข่าวดี หรือโชคลาภในทางการงานและการเงินจากผู้ใหญ่
161,ดึก,ฝันว่าเวลาล่วงเที่ยงคืน หรือยามตีสี่ตีห้า ทายว่า ของที่หายไปจะได้กลับคืน หรือคนรักที่จากไปจะกลับมาคืนดี แต่ถ้าของหายได้กลับคืน มักจะประสบเคราะห์ตามหลัง
162,แดง,ฝันเห็นผ้าห่มแดง ซองจดหมายสีแดง หรือแผ่นกระดาษสีแดง ถ้าได้จับต้อง ทายว่า จะได้รับเคราะห์ มีศัตรูคิดปองร้าย หรือถูกโจรกรรมทรัพย์สิน
163,ดีใจ,ฝันที่ทำให้ดีใจ หรือหัวเราะสนุกสนานครื้นเครงดีใจ ในการได้รับของ ทำนายว่า มักจะเป็นเรื่องร้าย ตรงข้ามกับฝันร้าย ถ้าฝันเสียอกเสียใจ กลับจะเป็นเรื่องดีมีลาภ
164,เต่า,หญิงชายใดฝันเห็นเต่า หรือได้จับตัวเต่าหรือตะพาบน้ำ ทายว่า จะได้ลาภสัตว์ 4 เท้า 2 เท้าในระยะอันใกล้นี้
165,ตกใจ,ฝันว่าได้รับภัยอย่างใดอย่างหนึ่งทำให้ตกใจตื่น ทายว่า จะได้รับข่าวร้ายจากญาติทางไกล ถ้าฝันนั้นไม่เป็นจริงและระวังไปในน้ำ ทายว่า จะหมดเคราะห์และจะได้ลาภตามมาหลัง
166,ตกปลา,ฝันว่าได้ตกปลาและปลาติดเบ็ดขึ้นมา ทายว่า จะได้ลาภจากการเสี่ยงโชคเล็ก ๆ น้อย ๆ
167,ตกบ่อ,ฝันว่าตนเองตกลงไปในบ่อหรือในหลุมโคลนที่มีหนอนไส้เดือนอยู่ เป็นที่สกปรก ทายว่า จะได้ลาภทางการเสี่ยงเป็นกอบเป็นกำ ถ้าฝันว่าตกลงไปในบ่อขี้ มีอุจจาระติดเนื้อติดตัว ทายว่า จะได้รับข่าวที่ดีจากญาติบางคน
168,เห็นตัวเราฝันตาย,ทายว่า จะได้รับการมัวหมองจากหน้าที่การงาน หรือได้รับการนินทาไปในทางเสื่อมเสีย
169,ตาย,ฝันเห็นคนตาย ทายว่า จะได้ลาภหรือหมดเคราะห์ ถ้าฝันว่าตนเองตาย จะหมดเคราะห์ และจะได้ลาภติดตามมา
170,ต้นไม้,ฝันเห็นต้นไม้เขียวชอุ่ม หรือฝันว่าได้ปีนป่ายขึ้นไปบนต้นไม้อย่างปลอดภัย ทายว่า จะได้เลื่อนตำแหน่งหน้าที่การงานสูงขึ้น หรือฝันว่าเข้าไปอยู่ใต้ร่มไม้ใหญ่ ก็เป็นความฝันดีจะมีผู้ใหญ่คำ้ชู
171,ตำรวจ,ฝันเห็นคนแต่งเครื่องแบบตำรวจหรือเห็นตำรวจตั้งป้อมจับคนร้ายในฝัน ทายว่าจะหมดเคราะห์หรือมีการย้ายถิ่นฐาน แต่จะต้องเสียเงินเสียทองด้วย เป็นทุกขลาภ
172,ตาชั่ง,ฝันเห็นตาชั่งน้ำหนัก หรือเครื่องชั่งน้ำหนัก ทายว่า จะเดือดเนื้อร้อนใจในทางถ้อยคดี หรือทะเลาะวิวาทแต่ไม่ถึงกับรุนแรงนัก
173,ตะราง,ฝันเห็นตะรางที่คุมขัง หรือฝันเห็นเหล็กลูกกรงทำเป็นตะรางหน้าบ้าน ทายว่า จะได้รับเคราะห์ทางเจ็บไข้ได้ป่วย หรือการวิวาท
174,ศพ,ฝันเห็นศพที่มีน้ำเหลืองท่วมผ้าขาวหรือมีกลิ่นเหม็นอืดอาด ทายว่า จะได้ลาภจากคนตาย หรือได้รับมรดก
175,ต่อสู้,ฝันว่ากำลังต่อสู้กับคนร้ายหรือคู่วิวาทหรือสัตว์ร้ายยังไม่รู้แพ้รู้ชนะ ทายว่า จะมีศัตรูคิดปองร้าย แต่ทำอะไรไม่ได้รุนแรงนัก ถ้าในฝันนั้นเราเป็นฝ่ายชนะ ทายว่าจะหมดเคราะห์ ถ้าในฝันเราแพ้ ทายว่าจะมีเคราะห์
176,ตะเพียน,ฝันว่า ได้จับปลาตะเพียน จะได้ตำแหน่งหน้าที่การงานดีขึ้น มีคนนิยมชมชื่น ถ้าทำมาค้าขายจะเจริญรุ่งเรือง
179,เตาไฟ,ฝันเห็นเตาไฟมีถ่านไฟแดง ทายว่า จะมีเคราะห์มีเหตุเกิดขึ้นภายในบ้าน หรือภายในครอบครัว ถ้าฝันเห็นเตาไฟดับ ทายว่า จะได้สัตว์เลี้ยงมีคนเข้ามาอยู่ในบ้าน
180,เตาไฟดับ,ทายว่า จะได้สัตว์เลี้ยงมีคนเข้ามาอยู่ในบ้าน
181,ตะโพน,ผมเห็นตะโพน หรือกลองสองหน้า หรือฝันว่าได้ตะโพนทายว่า จะได้รับยศและชื่อเสียงในหน้าที่การงานและการเงิน
182,ตะปู,ฝันว่าถูกตะปู หรือของมีคมตำเท้าจึงเลือดออก ทายว่า จะหมดเคราะห์หายทุกข์จะมีผู้ช่วยเหลือ
183,ตะกวด,ฝันเห็นตะกวดหรือเหี้ย เข้ามาอยู่ในบ้าน ความฝันนี้ทายว่า จะมีคนนำลาภหรือสิ่งของมาให้ (ตรงกันข้ามกับที่ว่าถ้าตัวเหี้ยพวกนี้เลื้อยเข้ามาในบ้าน ถือว่าเป็นเคราะห์จัญไรแก่บ้าน ต้องทำพิธีปัดไล่ให้ออกไป)
184,ตัดหัว,ฝันเห็นคนถูกตัดหัว หรือตนเองถูกตัดศีรษะทายว่า จะได้เลื่อนตำแหน่งหน้าที่การงาน หรือมีอำนาจเพิ่มขึ้น
185,ตกน้ำ,ฝันว่าน้ำไหลจากภูเขามาในบ้าน หรือฝันว่าได้อาบน้ำในบ่อน้ำ มีผู้คนมากมายเล่นน้ำสนุกสนาน ทายว่าจะได้รับทางโชคหรือการค้าจะรุ่งเรืองขึ้น
186,ตลาด,ฝันว่าไปในตลาดที่มีผู้คนขวักไขว่ หรือฝันว่าตนได้ค้าขายในตลาดสด ทายว่า จะได้รับโชคลาภจากการค้าขาย หรือมีโชคลาภจากการพนันเสี่ยงโชค
187,ต้นไทร,ฝันเห็นต้นไทรใหญ่แผ่ใบพฤกษ์ หรือได้ย้ายต้นไทรใหญ่ปลูกหน้าบ้าน ทายว่าจะได้ลาภอันพึงพอใจ
188,ตาข่าย,ฝันว่าได้จับตาข่าย หรือเอาตาข่ายไปจับกุ้งจับปลา หรือจับสัตว์ได้ ทายว่า จะได้ลาภจากการค้าหรือการเสี่ยงโชค ถ้าฝันว่าตนถูกตาข่ายคลุมรัดตัว จะได้รับเคราะห์ทุกข์นักหนา
189,ตาลปัตร,ฝันเห็นตาลปัตรที่พระถือ หรือได้เอาตาลปัตรกางกั้นตน ทายว่า จะได้รับชื่อเสียงในทางดีงาม หรือได้เลื่อนตำแหน่งหน้าที่ในการงาน
190,โต๊ะ,ฝันเห็นโต๊ะ หรือเตียง หรือเก้าอี้นั่ง ทายว่าจะได้รับการโยกย้ายหรือเปลี่ยนแปลงหน้าที่การทำงานหรือทางครอบครัว จะมีการแตกร้าวทะเลาะกันไปชั่วระยะหนึ่ง
191,แต่งงาน,ฝันเห็นการแต่งงาน หรือได้เข้าสู่พิธีแต่งงาน ทายว่าจะได้รับเคราะห์หนัก หรือเจ็บไข้ได้ป่วยถึงล้มหมอนนอนเสื่อ ถ้าพ้นจากเคราะห์นี้ไปแล้วจะมีลาภตามภายหลัง
192,แต่งตัว,ฝันว่าได้แต่งตัว หรือแต่งเสื้อผ้าอาภรณ์ใหม่ ทายว่า ถ้าเป็นหญิงแต่งงานแล้วจะได้บุตรน่ารัก ถ้าเป็นชายโสดจะพบเนื้อคู่ ถ้าเป็นหญิงโสดจะได้ลาภเป็นสิ่งของเล็ก ๆ น้อย ๆ
193,แตระ,ฝันเห็นแตระ หรือได้เป่าแตระ ทายว่าจะได้รับเคราะห์เพราะปากของตนเอง หรือได้รับการเจ็บป่วย
194,ไต่เขา,ฝันว่าตนเองไต่เขาหรือปีนขึ้นไปบนเขา ทำนายว่า จะหมดทุกข์หรือหมดเคราะห์ ถ้าฝันนี้ล้มจะผ่อนคลายเบาบางลง
195,แตกร้าว,ฝันว่ากระจกส่องหน้าแตกร้าว หรือเครื่องแก้วแตก ทายว่า ชีวิตในครอบครัวจะระทดระทวยและแตกแยกกัน หรือกิจการหน้าที่ จะยุ่งเหยิงมีปัญหาให้กลืนกินลำบาก หรือจะมีคนเหยียดหยามเสียหาย
196,ต่างหู,ฝันเห็นต่างหู หรือซื้อต่างหู เป็นคนมีวาสนา เสียสละมาก ถ้าฝันว่าได้สวมสร้อยหรือได้รับเครื่องประดับ ทายว่า เป็นหญิงโสดจะได้แต่งงาน ถ้ามีสามีแล้วจะมีปัญหากับสามี
197,เต้นรำ,ฝันว่าได้เต้นรำด้วยตนเองกับเพศตรงข้าม ถ้าเป็นหญิงจะได้ลาภทางการเป็นนายหน้า ถ้าเป็นชายหรือนายจ้างจะได้รับเคราะห์หนักในทางเสียเงินหรือทรัพย์สิน ทายว่า ทางเสียเงินอาจมาจากการเสียหายขนาดใหญ่
198,ตู้เซฟ,ฝันเห็นตู้เซฟหรือดูตู้เหล็กใส่เอกสาร ในฝันนั้น ได้เปิดตู้ทำนายว่าจะได้รับข่าวดีจากทางไกลหรือจะได้เลื่อนตำแหน่ง หน้าที่การงานในไม่ช้าหรือไม่เร็วนัก ถ้าเป็นนายหน้าชื่อขาย จะได้รับผลสำเร็จอย่างงาม
199,ตุ๊กตา,ฝันเห็นตุ๊กตา หรือได้อุ้มตุ๊กตาน่ารัก ถ้าเป็นหญิงทายว่าจะได้ลาภเป็นข้าวของหรือสัตว์เลี้ยง ถ้าเป็นชายแต่งงานแล้ว จะได้บุตรหรือนารีกำนัล ชายโสดจะได้พบเนื้อคู่
201,แตน,ฝันว่าถูกแตนหรือต่อต่อยกัด เป็นฝันไม่สู้ดีนัก ทายว่า ผู้ฝันจะมีศัตรูร้าย ทำให้พลัดที่อยู่หรือโยกย้ายหน้าที่การงาน (ทางตำราไทยถือว่า ถ้าฝันว่าถูกแตนต่อย ให้ไปแก้เคล็ดที่ต้นหนนทนาคา เคราะห์ร้ายจะบรรเทา)
202,ตบมือ,ฝันว่าตนเองตบมือ ในทำนองชอบอกชอบใจ ทายว่า จะมีเคราะห์ร้ายหรือเกิดทะเลาะวิวาทกับคนในบ้าน ถ้าฝันว่า เอามือซ้ายตบมือขวาของตนเอง ทายว่า จะต้องรับเคราะห์ก็เพราะการเข้าไปร่วมทุนหรือร่วมทำงานกับเพื่อนฝูง
203,ใต้ถุน,ฝันเห็นว่าตนเองมุดหรือคลานเข้าไปในใต้ถุนบ้านหรือเรือนแห่งหนึ่งในความมืด แล้วคลานออกพบกับแสงสว่าง ทายว่า เป็นฝันดี จะหมดเคราะห์และมีโชค ถ้าในฝันยังคลานอยู่ในความมืด พราว่าจะมีเคราะห์อยู่
205,ถุงเงิน,ฝันเห็นถุงเงิน หรือได้จับถุงเงิน เป็นนิมิตบอกเหตุตรงข้าม ถ้าเป็นหญิงมีครรภ์จะได้บุตรชายมีวาสนาดี ถ้าเป็นโสดจะได้พบเนื้อคู่มีฐานะดี
206,ถาด,ฝันเห็นถาดลอยน้ำหรือตนได้เอาถาดเงินไปบริจาคถวายหล่อพระพุทธรูป ทายว่าท่านจะได้รับความสุขและมีฐานะทางการเงินดีขึ้นกว่าเดิมหลายเท่า
207,ถ้ำ,ฝันได้เข้าไปในถ้ำมืด พบทางตันหรือหาทางออกไม่ได้ ทายว่าจะประสบเคราะห์ หรือมีอิ้นให้ทะเลาะกับญาติมิตรหรือคนรัก ถ้าในฝันได้พบพระพุทธรูปหรือพระคลังมหาสมบัติของพระเจ้าแผ่นดิน ทายว่าจะได้รับโชคลาภจากการเสี่ยง
208,ถนนหนทาง,ฝันเห็นถนนหนทางที่ไม่เคยได้พบเห็นมาก่อนเลยในชีวิต ทายว่าจะได้เดินทางไกล หรือได้ท่องเที่ยวต่างประเทศ
209,ถลกหนัง,ฝันเห็นคนฆ่าสัตว์ และทำการถลกหนังสัตว์ที่ตายแล้วออกมาเป็นหนัง ทายว่าจะได้รับข่าวร้ายจากญาติมิตรที่อยู่ห่างไกลในไม่ช้า
210,ถ่อเรือ,"ฝันเห็นคนถ่อเรือ, พายเรือ หรือแจวเรือ หรือ ตนเองได้ถ่อไปกับเรือด้วย ทายว่าจะหมดเคราะห์ และจะได้รับการโยกย้ายหรือเปลี่ยนแปลงหน้าที่ในการงาน"
211,ถล่ม,ฝันเห็นภูเขา หรือตึกถล่มบ้านช่องถล่มลง ทายว่างานที่เริ่มริเริ่มนั้นจะล้มเหลว หรือมีการโยกย้ายหน้าที่หรือที่อยู่อาศัย ถ้าฝันว่าตนเองอยู่ในที่ถล่มนั้นด้วย ทายว่าจะหมดเคราะห์ และจะต้องมีการเปลี่ยนแปลง
212,ถ้วย,ฝันเห็นถ้วยน้ำและถ้วยข้าว หรือตนเองถือถ้วยน้ำ ทายว่า สิ่งที่คิดไว้ว่าจะเป็นผลสำเร็จ หรือจะได้รับโชคลาภเล็กน้อย
213,ถ่านไฟ,ฝันเห็นถ่านไฟลุกแดงในเตา หรือไฟไหม้เป็นควันดำหรือควันคุกรุ่น ทายว่า จะต้องย้ายที่อยู่หรือที่ทำงานในไม่ช้า
214,ถ่ายรูป,ฝันว่าตนเองได้ถ่ายรูป ทายว่า สิ่งที่เป็นอยู่ของคนเราจะเปลี่ยนแปลงในทางตรงกันข้ามคือกำลังกังวลหรือกำลังกระทบเป็นเคราะห์หรือจะกลับมีโชคลาภทางการเสี่ยงโชค
215,ถุงเท้า,ฝันเห็นถุงเท้าใหม่หรือเครื่องนุ่งห่มใหม่ หรือได้สวมถุงเท้าใหม่ ทายว่า ถ้าชายที่มีครอบครัวแล้วก็จะได้ภรรยาใหม่อีก ถ้าเป็นหญิงมีครรภ์ ทายว่า จะได้ลูกผู้หญิงน่ารักและว่านอนสอนง่าย หรือจะมีโชคลาภจากการเสี่ยง
216,ถีบจักร,ฝันว่าตนเองได้ถีบจักรเย็บผ้า หรือถีบจักรยานทายว่า ชายจะมีการเดินทางไกลหรือโยกย้ายที่อยู่ หญิงจะมีปากเสียงกับคนในบ้าน
217,ถูกล็อตเตอรี่,ฝันว่าตนเองมีโชคถูกล็อตเตอรี่ ทายว่า จะต้องมีการเสียเงินเสียทอง และมีเรื่องเดือดร้อนเกี่ยวกับการขึ้นโรงขึ้นศาล หากฝันอยู่ในช่วงที่ตื่นขึ้นมามีโชคลาภจากการเสี่ยงโชค หรือเป็นวันขึ้น 1 ค่ำ จะดีมาก
218,ไถนา,ฝันเห็นคนไถนา หรือเครื่องไถคราดกลางทุ่ง หรือตนเองขับรถไถทำงานอยู่ ทายว่าจะได้ลาภทางไกล หรือก้าวหน้าในทางเจริญรุ่งเรือง
219,ไข่แดง,ฝันเห็นไข่แดง หรือมีผู้นำไข่มาให้ตนเอง ทายว่า จะได้บุตรหญิง หรือได้ลาภจากเพศหญิง ชายโสดจะได้เนื้อคู่ หรือได้ลาภจากฝ่ายหญิง
220,ถอยหลัง,ฝันว่าตนเองเดินถอยหลัง หรือพาหนะนั้นไปถอยหลัง ทายว่า การงานที่คิดไว้จะไม่สมหวังหรือจะต้องมีการเสียเงินเสียทองโดยเปล่าประโยชน์
221,ถอด,ฝันว่าตนเองถอดเสื้อ ถอดรองเท้า หรือถอดเครื่องแต่งตัว ทายว่า ที่กำลังป่วยจะหาย ที่กำลังมีเคราะห์ก็จะหมดไป จะเริ่มมีความสุขขึ้นเรื่อยๆ
222,ถางหญ้า,ฝันเห็นคนถางหญ้า หรือตนเองเป็นผู้ถางหญ้า จะหมดเคราะห์ และหนี้สินที่มีอยู่จะเบาบางลง หรือมีอันจะได้ลาภเล็กๆ น้อยๆ ในระยะติดติต่อกัน
223,ถวายน้ำ,ฝันว่าตนเองได้ถวายน้ำถวายข้าวพระ หรือถวายน้ำปัจจัยแก่ภิกษุสงฆ์ และภิกษุรับประเคนไป ทำนายว่า จะได้รับโชคลาภจากผู้ใหญ่หรือผู้บังคับบัญชา หรือได้รับชื่อเสียงเกียรติคุณ
224,ถูกฆ่า,ฝันว่าตนเองถูกฆ่าตาย ทำนายว่า จะมีโชคลาภทางการเงินดีขึ้น ที่มีเคราะห์หนี้สินจะหมดคลี่ไป
225,ต้นไผ่,ฝันเห็นต้นไผ่ขึ้นในครัวหรือในบ้าน หรือต้นไม้เล็กๆ โผล่ขึ้นในบ้าน ทำนายว่า จะมีผู้มาจากทางไกลนำข่าวดีมาให้ หรือจะได้รับข่าวดีจากญาติพี่น้องที่อยู่ไกลหรือไม่ได้พบปะกันนาน
226,ถากไม้,ฝันเห็นคนถากไม้ หรือตนเองเป็นผู้ถาก ทำนายว่า ศัตรูที่คิดร้ายจะมีอันพ่ายแพ้ ถ้าเป็นคดีความจะชนะ หรือจะมีความสุข พ้นจากโรคภัยไข้เจ็บ
227,ทหาร,ฝันเห็นเครื่องแบบทหาร หรือเห็นแถวทหาร ทายว่า จะได้เลื่อนตำแหน่งหน้าที่การงานหรือมีอำนาจวาสนาขึ้น
228,ทะเล,ฝันลงเล่นน้ำในทะเล ทายว่า จะอยู่เย็นเป็นสุขและมีโชคลาภในการเสี่ยง
229,ทอง,ฝันว่าได้ใส่สายสร้อยทองคำ หรือได้จับต้อง ทายว่าการที่คิดไว้จะสมหวัง หรือถ้ามีบุตร บุตรคนนี้จะเป็นหญิง
230,ทราย,ฝันว่าได้ไปเดินเล่นบนหาดทราย หรือตักทรายเข้าบ้าน ทายว่า จะได้โชคลาภทางการเงิน หรือมีอำนาจวาสนาขึ้น
231,ตะกร้า,ฝันว่าได้เห็นตะกร้าภายในบ้าน หรือเห็นตะกร้า ทำนายว่าจะได้โชคลาภ และตำแหน่งการงานดีขึ้น
232,เทวดา,ฝันว่าได้เฝ้าเทวดา หรือเข้าไปนั่งฟังเทวดาในสภาธรรม ทายว่า จะหมดเคราะห์ ที่ป่วยจะหาย และจะได้รับโชคลาภ
233,ทอดแห,ฝันว่าทอดแหได้ปลาเล็กปลาน้อย หรือได้แต่ปลาตัวเล็กมาก ทายว่า ดวงไม่ดี อย่าเจรจาลงทุนขยายธุรกิจในช่วงนี้
234,ทำขวัญ,ฝันว่ามีผู้ใหญ่จับมือทำขวัญให้แก่ตนเองทายว่า ที่ป่วยจะหาย ร่างกายจะสมบูรณ์พูนสุข และมีโชคลาภทางเสี่ยง
235,ทรงกลด,ฝันเห็นพระอาทิตย์หรือพระจันทร์ทรงกลดเปล่งรัศมี ทายว่า สตรีมีครรภ์จะได้บุตรชายเป็นศรีสง่า หรือจะมีโชคลาภอุดมสมบูรณ์
236,ทาสี,ฝันว่าทาสีบ้านตนเองด้วยสีสันต่างๆ หลายสีสันไป ทายว่า จะได้สมาชิกใหม่เพิ่มขึ้นในครอบครัวหรือในบ้าน จะได้รับความสุขทั่วหน้ากัน จะมีลาภหลังไหลเข้ามา
237,ทะเลาะ,ฝันเห็นการทะเลาะวิวาท หรือฝันว่าทะเลาะเป็นปากเสียงกับเพื่อนบ้านในฝัน ทายว่า จะโยกย้ายหรือมีการเปลี่ยนแปลงในหน้าที่การงานไม่สู้ดีนัก
238,ทัพพี,ฝันว่าเห็นทัพพีตักข้าว หรือเห็นทัพพี ทายว่าโชคลาภจะมาถึงในเร็ววัน หรืออาจมีอุปสรรคเกี่ยวกับการทำมาหากิน
239,ทับทิม,ฝันเห็นทับทิมมีลูกเก็บเอามาแกะมาทาน ทายว่า สตรีมีครรภ์จะได้บุตรหญิง หรือจะได้โชคลาภจากเพศตรงข้าม จะมีการเปลี่ยนแปลงหน้าที่การงานไปในทางที่ดี
240,ทางรถไฟ,ฝันเห็นรางรถไฟหายไป หรือฝันว่าเดินไปตามทางรถไฟ ซึ่งมีไม้หมอนขวางรองอยู่ ทายว่า จะมีการโยกย้ายหน้าที่หรือที่อยู่ไปทางไกล
241,ทิวเขา,ฝันเห็นทิวเขาเป็นแนวยาวเหยียดยืนข้างหน้า ทายว่า งานที่คิดไว้จะมีอุปสรรค หรือเลิกล้ม หรือมีการเปลี่ยนแปลงโยกย้าย
242,ทุ่งนา,ฝันเห็นทุ่งนาเรื่งว่าง หรือตนเองเดินไปกลางทุ่งนา ทายว่า จะป่วยเจ็บหรือมีเคราะห์เกิดขึ้นภายในครอบครัว
243,ทดน้ำ,ฝันว่าได้ทดน้ำ หรือวิดน้ำในคูใหญ่เอามาใส่ในคูเล็กเป็นที่เก็บกักน้ำของตนเอง (ทดน้ำหมายความว่าทำน้ำไปเพื่อประโยชน์อย่างใดอย่างหนึ่ง) ฝันชนิดนี้ทายว่าเป็นมงคลดี ผู้ฝันจะเป็นผู้มีอำนาจ หรือได้รับการยกย่อง
244,ทุเรียน,ฝันเห็นทุเรียน หรือได้กินเนื้อทุเรียน ทายว่าจนหมดเคราะห์ หรือหายจากโรคภัยไข้เจ็บ ถ้าเป็นคดีความจะชนะคดี
245,เทียนไข,ฝันเห็นเทียนไข หรือตนเองเป็นผู้จุดเทียนไขสว่างขึ้น ทายว่า จะได้โชคลาภลอยเล็ก ๆ น้อย ๆ เกิดขึ้น
246,โทรศัพท์,ฝันว่าได้โทรศัพท์ หรือได้พูดคุยกับคนที่จากไปไกลและกลับมาพบกัน ทายว่า จะได้รับข่าวร้ายทางไกล หรือญาติมิตรจะเจ็บป่วยไข้เจ็บ
247,ที่มีศพ,ฝันเห็นที่มีศพหรือยวงศพ หรือตนเองเดินเข้าไปในสุสานที่มีศพ ทายว่า จะได้รับโชคลาภทางใดทาง หรืออาจมีผลดีจะมาถึงบ้าน
248,ท่าเรือ,ฝันว่าตนเองลงเรือจอดท่า หรือยืนอยู่ที่หน้าท่าเรือ ทายว่า การที่คิดไว้จะสมหวัง หรือจะมีโชคลาภในหน้าที่การงานหรือในการค้าขายดีขึ้น
249,ท้องเดิน,ฝันว่าตนเองท้องเดิน เป็นความฝันดี ทายว่า ผู้นั้นจะประสบโชคลาภในหน้าที่การงาน หรือกิจการค้าขาย
250,ทอผ้า,ฝันเห็นเครื่องทอผ้า หรือตนเองได้ทอผ้าด้วยมือของตนเอง ทายว่า จะได้รับโชคทางไกล หรือก้าวหน้าในหน้าที่ใหม่ที่จะมีขึ้น จะมีผู้ใหญ่อยู่ช่วยเหลือ
251,แทง,ฝันว่าตนเองแทงตนเอง ทายว่า จะได้เลื่อนตำแหน่งหน้าที่การงาน ถ้าเป็นพ่อค้า จะได้เปลี่ยนแนวการค้าใหม่ดีกว่าเดิม ถ้าฝันว่าแทงสัตว์หรือแทงคนถึงเลือดออกหรือถึงตาย ทายว่า จะได้รับความร้อนใจ (ดูคำว่า 'ฆ่า')
252,ทาเล็บ,ฝันว่าทำเล็บทาเล็บของตนเอง (มักจะเป็นฝันของสตรีเสมอ) ทายว่า ผู้ฝันจะได้รับข่าวดี ถ้าเป็นหญิงโสดจะมีผู้ใหญ่ส่งข่าวทางไกลมาขอ ถ้าเป็นหญิงตั้งครรภ์จะได้บุตรีแสนสวย
